Precip. Accum.,Date_Time,Station
0,2023-11-18T04:04:00Z,INATIONA8
0,2023-11-18T04:09:00Z,INATIONA8
0,2023-11-18T04:14:00Z,INATIONA8
0,2023-11-18T04:19:00Z,INATIONA8
0,2023-11-18T04:24:00Z,INATIONA8
0,2023-11-18T04:29:00Z,INATIONA8
0,2023-11-18T04:34:00Z,INATIONA8
0,2023-11-18T04:39:00Z,INATIONA8
0,2023-11-18T04:44:00Z,INATIONA8
0,2023-11-18T04:49:00Z,INATIONA8
0,2023-11-18T04:54:00Z,INATIONA8
0,2023-11-18T04:59:00Z,INATIONA8
0,2023-11-18T05:04:00Z,INATIONA8
0,2023-11-18T05:09:00Z,INATIONA8
0,2023-11-18T05:14:00Z,INATIONA8
0,2023-11-18T05:19:00Z,INATIONA8
0,2023-11-18T05:24:00Z,INATIONA8
0,2023-11-18T05:29:00Z,INATIONA8
0,2023-11-18T05:34:00Z,INATIONA8
0,2023-11-18T05:39:00Z,INATIONA8
0,2023-11-18T05:44:00Z,INATIONA8
0,2023-11-18T05:49:00Z,INATIONA8
0,2023-11-18T05:54:00Z,INATIONA8
0,2023-11-18T05:59:00Z,INATIONA8
0,2023-11-18T06:04:00Z,INATIONA8
0,2023-11-18T06:09:00Z,INATIONA8
0,2023-11-18T06:14:00Z,INATIONA8
0,2023-11-18T06:19:00Z,INATIONA8
0,2023-11-18T06:24:00Z,INATIONA8
0,2023-11-18T06:29:00Z,INATIONA8
0,2023-11-18T06:34:00Z,INATIONA8
0,2023-11-18T06:39:00Z,INATIONA8
0,2023-11-18T06:44:00Z,INATIONA8
0,2023-11-18T06:49:00Z,INATIONA8
0,2023-11-18T06:54:00Z,INATIONA8
0,2023-11-18T06:59:00Z,INATIONA8
0,2023-11-18T07:04:00Z,INATIONA8
0,2023-11-18T07:09:00Z,INATIONA8
0,2023-11-18T07:14:00Z,INATIONA8
0,2023-11-18T07:19:00Z,INATIONA8
0,2023-11-18T07:24:00Z,INATIONA8
0,2023-11-18T07:29:00Z,INATIONA8
0,2023-11-18T07:34:00Z,INATIONA8
0,2023-11-18T07:39:00Z,INATIONA8
0,2023-11-18T07:44:00Z,INATIONA8
0,2023-11-18T07:49:00Z,INATIONA8
0,2023-11-18T07:54:00Z,INATIONA8
0,2023-11-18T07:59:00Z,INATIONA8
0,2023-11-18T08:04:00Z,INATIONA8
0,2023-11-18T08:09:00Z,INATIONA8
0,2023-11-18T08:14:00Z,INATIONA8
0,2023-11-18T08:19:00Z,INATIONA8
0,2023-11-18T08:24:00Z,INATIONA8
0,2023-11-18T08:29:00Z,INATIONA8
0,2023-11-18T08:34:00Z,INATIONA8
0,2023-11-18T08:39:00Z,INATIONA8
0,2023-11-18T08:44:00Z,INATIONA8
0,2023-11-18T08:49:00Z,INATIONA8
0,2023-11-18T08:54:00Z,INATIONA8
0,2023-11-18T08:59:00Z,INATIONA8
0,2023-11-18T09:04:00Z,INATIONA8
0,2023-11-18T09:09:00Z,INATIONA8
0,2023-11-18T09:14:00Z,INATIONA8
0,2023-11-18T09:19:00Z,INATIONA8
0,2023-11-18T09:24:00Z,INATIONA8
0,2023-11-18T09:29:00Z,INATIONA8
0,2023-11-18T09:34:00Z,INATIONA8
0,2023-11-18T09:39:00Z,INATIONA8
0,2023-11-18T09:44:00Z,INATIONA8
0,2023-11-18T09:49:00Z,INATIONA8
0,2023-11-18T09:54:00Z,INATIONA8
0,2023-11-18T09:59:00Z,INATIONA8
0,2023-11-18T10:04:00Z,INATIONA8
0,2023-11-18T10:09:00Z,INATIONA8
0,2023-11-18T10:14:00Z,INATIONA8
0,2023-11-18T10:19:00Z,INATIONA8
0,2023-11-18T10:24:00Z,INATIONA8
0,2023-11-18T10:29:00Z,INATIONA8
0,2023-11-18T10:34:00Z,INATIONA8
0,2023-11-18T10:39:00Z,INATIONA8
0,2023-11-18T10:44:00Z,INATIONA8
0,2023-11-18T10:49:00Z,INATIONA8
0,2023-11-18T10:54:00Z,INATIONA8
0,2023-11-18T10:59:00Z,INATIONA8
0,2023-11-18T11:04:00Z,INATIONA8
0,2023-11-18T11:09:00Z,INATIONA8
0,2023-11-18T11:14:00Z,INATIONA8
